기간	구분	성별	계	1세미만	1~9세	10~19세	20~29세	30~39세	40~49세	50~59세	60~69세	70~79세	80세이상	연령미상
2017	강남구	여자	33,388	556	3,629	2,270	5,687	5,463	3,861	3,969	3,326	2,422	2,205	-
2017	송파구	계	60,062	2,281	11,139	3,845	6,076	7,391	5,683	7,144	7,305	5,390	3,808	-
2017	송파구	남자	30,031	1,283	6,418	2,196	2,334	2,877	2,661	3,438	4,053	3,095	1,676	-
2017	송파구	여자	30,031	998	4,721	1,649	3,742	4,514	3,022	3,706	3,252	2,295	2,132	-
2017	강동구	계	60,346	1,374	8,591	4,306	6,966	7,275	6,631	8,533	7,666	5,355	3,649	-
2017	강동구	남자	30,288	750	4,959	2,612	2,863	3,239	3,218	3,968	4,288	2,899	1,492	-
2017	강동구	여자	30,058	624	3,632	1,694	4,103	4,036	3,413	4,565	3,378	2,456	2,157	-
2017	타지역	계	287,087	7,963	35,457	14,616	35,299	30,603	30,628	41,241	40,273	33,014	17,993	-
2017	타지역	남자	151,466	4,461	19,864	7,724	15,464	14,975	17,059	22,188	22,770	18,688	8,273	-
2017	타지역	여자	135,621	3,502	15,593	6,892	19,835	15,628	13,569	19,053	17,503	14,326	9,720	-
2017	미상/미입력	계	52,969	1,604	7,697	3,723	7,719	7,088	5,956	6,612	5,478	4,327	2,758	7
2017	미상/미입력	남자	27,180	945	4,385	1,998	3,218	3,448	3,288	3,492	2,971	2,263	1,169	3
2017	미상/미입력	여자	25,789	659	3,312	1,725	4,501	3,640	2,668	3,120	2,507	2,064	1,589	4
