기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2018.3/4	서대문구	한국인	310,584	10,246	10,965	11,103	14,728	22,996	25,491	21,462	23,999	22,584	27,038	24,435	24,968	20,698	14,680	12,780	11,346	6,662	2,789	1,043	335	236
2018.3/4	서대문구	등록외국인	11,913	134	157	181	636	4,002	2,285	1,034	711	506	512	455	536	357	170	104	56	46	20	7	2	2
2018.3/4	마포구	계	385,032	13,955	14,166	14,554	17,113	28,348	35,704	33,892	35,109	31,127	33,844	27,510	27,344	21,807	15,223	13,010	11,115	6,582	2,996	977	357	299
2018.3/4	마포구	한국인	374,106	13,761	13,999	14,393	16,706	25,621	33,635	32,633	34,191	30,506	33,256	26,890	26,764	21,480	15,075	12,946	11,079	6,564	2,982	973	354	298
2018.3/4	마포구	등록외국인	10,926	194	167	161	407	2,727	2,069	1,259	918	621	588	620	580	327	148	64	36	18	14	4	3	1
2018.3/4	양천구	계	469,945	15,036	20,497	25,050	30,440	32,185	30,736	28,839	35,538	37,428	46,810	40,321	38,837	30,786	20,825	14,769	10,748	6,355	3,131	1,102	355	157
2018.3/4	양천구	한국인	466,121	14,932	20,410	24,999	30,387	32,041	30,368	28,346	35,135	37,052	46,353	39,805	38,369	30,586	20,764	14,747	10,740	6,348	3,127	1,102	354	156
2018.3/4	양천구	등록외국인	3,824	104	87	51	53	144	368	493	403	376	457	516	468	200	61	22	8	7	4	-	1	1
2018.3/4	강서구	계	605,068	23,851	23,755	22,638	27,548	37,924	50,668	52,029	56,912	46,892	49,230	43,577	49,479	41,751	28,332	20,696	14,764	8,493	4,283	1,619	426	201
2018.3/4	강서구	한국인	598,416	23,592	23,623	22,575	27,470	37,673	49,972	51,073	56,147	46,351	48,544	42,797	48,638	41,365	28,205	20,652	14,730	8,485	4,279	1,618	426	201
2018.3/4	강서구	등록외국인	6,652	259	132	63	78	251	696	956	765	541	686	780	841	386	127	44	34	8	4	1	-	-
2018.3/4	구로구	계	439,234	16,629	17,407	15,384	18,262	25,821	32,353	33,711	38,860	34,412	38,184	36,112	39,408	31,398	21,866	16,501	12,226	6,608	2,731	934	273	154
2018.3/4	구로구	한국인	406,144	15,406	16,595	14,954	17,942	25,056	30,290	30,309	35,882	31,672	33,825	30,641	33,684	29,309	21,400	16,376	12,168	6,571	2,714	924	272	154
2018.3/4	구로구	등록외국인	33,090	1,223	812	430	320	765	2,063	3,402	2,978	2,740	4,359	5,471	5,724	2,089	466	125	58	37	17	10	1	-
2018.3/4	금천구	계	252,359	8,118	7,924	7,433	10,057	15,665	20,953	19,639	19,875	17,800	22,348	23,490	25,306	18,452	12,485	9,402	7,308	3,653	1,569	555	173	154
2018.3/4	금천구	한국인	232,760	7,314	7,373	7,224	9,931	15,382	19,820	17,634	18,221	16,139	19,557	20,085	21,825	17,342	12,219	9,342	7,278	3,638	1,560	550	173	153
2018.3/4	금천구	등록외국인	19,599	804	551	209	126	283	1,133	2,005	1,654	1,661	2,791	3,405	3,481	1,110	266	60	30	15	9	5	-	1
2018.3/4	영등포구	계	403,724	15,215	13,667	12,268	15,103	23,171	35,081	36,666	36,043	30,005	34,658	33,505	35,856	27,122	18,527	14,346	11,366	6,698	2,847	1,024	312	244
2018.3/4	영등포구	한국인	368,577	13,887	12,754	11,753	14,799	22,536	32,976	33,115	33,038	27,186	30,018	27,510	29,578	24,856	18,020	14,213	11,294	6,657	2,826	1,010	307	244
2018.3/4	영등포구	등록외국인	35,147	1,328	913	515	304	635	2,105	3,551	3,005	2,819	4,640	5,995	6,278	2,266	507	133	72	41	21	14	5	-
2018.3/4	동작구	계	407,925	13,952	14,657	13,788	17,517	31,414	37,897	33,259	34,616	30,386	32,970	29,784	32,145	26,737	19,201	15,628	12,284	6,887	3,065	1,127	348	263
2018.3/4	동작구	한국인	395,513	13,686	14,481	13,706	17,174	28,707	36,378	32,079	33,847	29,754	31,950	28,370	30,636	26,155	19,071	15,592	12,266	6,869	3,059	1,125	348	260
2018.3/4	동작구	등록외국인	12,412	266	176	82	343	2,707	1,519	1,180	769	632	1,020	1,414	1,509	582	130	36	18	18	6	2	-	3
2018.3/4	관악구	계	521,685	14,356	14,469	14,348	19,183	41,708	65,822	50,427	44,826	36,424	39,939	36,308	39,471	32,564	24,627	19,658	15,259	7,513	3,065	1,094	332	292
2018.3/4	관악구	한국인	503,956	13,751	14,086	14,153	18,935	40,498	63,795	48,304	43,288	35,222	38,135	33,920	36,823	31,571	24,398	19,591	15,231	7,491	3,053	1,087	332	292
2018.3/4	관악구	등록외국인	17,729	605	383	195	248	1,210	2,027	2,123	1,538	1,202	1,804	2,388	2,648	993	229	67	28	22	12	7	-	-
2018.3/4	서초구	계	441,539	16,201	21,930	22,960	24,688	26,814	31,731	32,238	38,762	38,619	42,719	32,815	30,562	26,613	19,112	15,175	10,208	5,771	2,807	1,238	389	187
2018.3/4	서초구	한국인	437,407	16,063	21,747	22,806	24,611	26,587	31,263	31,597	38,188	38,150	42,321	32,469	30,304	26,506	19,061	15,155	10,200	5,762	2,806	1,236	388	187
2018.3/4	서초구	등록외국인	4,132	138	183	154	77	227	468	641	574	469	398	346	258	107	51	20	8	9	1	2	1	-
2018.3/4	강남구	계	549,255	16,893	22,889	27,468	33,973	36,156	42,413	41,972	47,901	46,221	54,387	42,488	37,456	32,626	23,592	18,349	12,029	6,743	3,491	1,487	473	248
2018.3/4	강남구	한국인	544,257	16,800	22,804	27,407	33,893	35,737	41,481	41,028	47,270	45,777	54,009	42,162	37,149	32,458	23,526	18,311	12,017	6,735	3,488	1,485	473	247
2018.3/4	강남구	등록외국인	4,998	93	85	61	80	419	932	944	631	444	378	326	307	168	66	38	12	8	3	2	-	1
2018.3/4	송파구	계	673,582	25,849	28,685	29,127	34,849	43,180	52,892	55,097	61,287	53,060	58,820	51,608	53,664	45,244	30,243	21,237	14,158	8,084	4,101	1,656	499	242
2018.3/4	송파구	한국인	666,892	25,633	28,510	29,049	34,764	42,885	52,216	54,170	60,532	52,512	58,077	50,726	52,850	44,908	30,146	21,206	14,138	8,076	4,097	1,656	499	242
2018.3/4	송파구	등록외국인	6,690	216	175	78	85	295	676	927	755	548	743	882	814	336	97	31	20	8	4	-	-	-
2018.3/4	강동구	계	434,992	15,403	17,164	17,766	21,968	27,537	32,004	31,661	37,456	33,124	37,392	34,537	38,398	32,302	21,738	15,465	10,525	5,891	2,929	1,173	351	208
2018.3/4	강동구	한국인	430,705	15,270	17,072	17,721	21,919	27,355	31,560	31,148	37,014	32,739	36,878	33,988	37,784	32,073	21,677	15,446	10,518	5,886	2,927	1,172	351	207
2018.3/4	강동구	등록외국인	4,287	133	92	45	49	182	444	513	442	385	514	549	614	229	61	19	7	5	2	1	-	1
